,Date,Colombo,Gampaha,Puttalam,Kalutara,Anuradhapura,Kandy,Kurunegala,Polonnaruwa,Jaffna,Ratnapura,Kegalle,Moneragala,Kalmunai,Matale,Galle,Ampara,Badulla,Matara,Batticoloa,Hambantota,Vavunia,Trincomalee,Nuwaraeliya,Kilinochchi,Mannar,Mullativu
96,07-06,4559,2498,1904,641,899,243,575,387,143,383,0,142,0,0,384,0,89,149,201,365,150,0,0,0,0,0
97,07-07,4568,2508,1904,642,899,243,575,388,143,383,0,142,0,0,385,0,89,149,202,365,150,0,0,0,0,0
98,07-08,4588,2520,1913,644,900,243,575,391,143,383,0,145,0,0,385,0,91,149,203,365,150,0,0,0,0,0
99,07-09,4613,2525,1926,645,900,243,575,392,143,383,0,145,0,0,388,0,91,149,204,365,150,0,0,0,0,0
100,07-10,4631,2527,1936,645,901,243,575,396,143,383,0,145,0,0,389,0,91,149,204,365,150,0,0,0,0,0
101,07-11,4652,2536,1942,648,914,244,575,403,145,383,0,145,0,0,391,0,91,149,206,365,150,0,0,0,0,0
102,07-12,4683,2542,1978,653,928,244,579,405,147,386,0,145,0,0,393,0,91,149,208,365,150,0,0,0,0,0
103,07-13,4716,2552,2006,657,947,244,581,409,149,386,0,145,0,0,397,0,91,149,208,365,150,0,0,0,0,0
104,07-14,4749,2569,2023,660,962,244,585,415,151,386,0,145,0,0,397,0,93,149,208,365,151,0,0,0,0,0
105,07-15,4783,2592,2067,664,971,248,590,422,151,386,0,147,0,0,398,0,94,151,214,365,154,0,0,0,0,0
106,07-16,4847,2606,2082,665,982,248,602,424,151,386,0,147,0,0,399,0,94,152,216,365,154,0,0,0,0,0
107,07-17,4873,2618,2103,665,992,248,606,427,151,386,0,148,0,0,401,0,96,153,217,365,154,0,0,0,0,0
108,07-18,4913,2631,2114,665,1002,248,608,428,151,389,0,148,0,0,402,0,97,154,219,365,155,0,0,0,0,0
109,07-19,4944,2643,2121,666,1007,248,610,433,151,389,0,148,0,0,404,0,97,155,219,365,155,0,0,0,0,0
110,07-20,4995,2660,2151,667,1014,248,612,447,152,389,0,148,0,0,406,0,98,157,221,365,155,0,0,0,0,0
111,07-21,5028,2671,2166,668,1018,248,612,454,152,391,0,149,0,0,409,0,99,159,221,365,155,0,0,0,0,0
112,07-22,5064,2687,2175,668,1022,248,613,456,152,391,0,150,0,0,410,0,99,159,224,365,155,0,0,0,0,0
113,07-23,5104,2701,2188,668,1025,248,615,459,152,392,0,150,0,0,411,0,99,159,224,365,155,0,0,0,0,0
114,07-24,5130,2704,2192,669,1026,248,615,459,153,392,0,151,0,0,411,0,99,159,224,365,155,0,0,0,0,0
115,07-25,5161,2713,2199,671,1029,248,616,460,154,392,0,151,0,0,411,0,101,159,224,365,155,0,0,0,0,0
116,07-26,5187,2724,2231,673,1034,248,617,462,154,392,0,151,0,0,412,0,102,160,224,365,155,0,0,0,0,0
117,07-27,5210,2730,2232,674,1034,248,618,463,154,393,0,151,0,0,412,0,102,160,224,365,158,0,0,0,0,0
118,07-28,5249,2735,2236,675,1040,249,620,466,154,393,0,153,0,0,412,0,102,160,224,365,160,0,0,0,0,0
119,07-29,5283,2747,2249,675,1041,249,620,466,154,393,0,153,0,0,412,0,102,160,224,365,162,0,0,0,0,0
120,07-30,5320,2756,2255,676,1050,249,620,469,155,393,0,153,0,0,418,0,102,160,227,365,164,0,0,0,0,0
121,07-31,5340,2761,2265,677,1050,249,622,470,155,393,0,153,0,0,418,0,103,160,227,365,164,0,0,0,0,0
122,08-01,5355,2773,2275,678,1051,249,623,471,155,393,0,154,0,0,418,0,104,160,227,365,167,0,0,0,0,0
123,08-02,5370,2777,2277,678,1051,249,624,475,155,393,0,154,0,0,418,0,105,160,227,365,168,0,0,0,0,0
124,08-03,5385,2783,2277,680,1055,249,624,478,155,393,0,158,0,0,418,0,105,160,227,365,168,0,0,0,0,0
125,08-06,5479,2801,2294,681,1057,249,625,488,155,393,0,158,0,0,420,0,106,161,227,365,168,0,0,0,0,0
126,08-07,5495,2801,2296,681,1057,249,628,488,155,393,0,158,0,0,420,0,106,161,228,365,169,0,0,0,0,0
127,08-08,5520,2814,2299,684,1057,249,629,490,155,393,0,158,0,0,420,0,106,161,229,365,170,0,0,0,0,0
128,08-09,5547,2821,2309,684,1058,249,630,498,155,393,0,158,0,0,420,0,106,161,230,365,170,0,0,0,0,0
129,08-10,5584,2826,2313,684,1059,249,631,498,157,393,0,158,0,0,420,0,106,161,231,365,170,0,0,0,0,0
130,08-11,5604,2831,2328,684,1061,249,631,499,157,393,0,158,0,0,420,0,106,161,231,365,170,0,0,0,0,0
131,08-12,5622,2841,2344,684,1061,249,632,500,160,393,0,158,0,0,420,0,107,161,231,365,170,0,0,0,0,0
132,08-13,5640,2850,2356,685,1063,249,632,501,160,393,0,160,0,0,421,0,107,162,231,365,170,0,0,0,0,0
133,08-14,5670,2857,2361,685,1063,249,632,501,161,394,0,160,0,0,421,0,107,162,231,365,170,0,0,0,0,0
134,08-15,5678,2865,2365,688,1064,249,632,501,161,394,0,160,0,0,422,0,108,162,231,365,171,0,0,0,0,0
135,08-16,5709,2872,2374,689,1064,249,632,505,161,394,0,160,0,0,423,0,108,162,231,365,171,0,0,0,0,0
136,08-17,5736,2884,2382,689,1065,249,635,506,161,394,0,160,0,0,424,0,108,163,231,365,171,0,0,0,0,0
137,08-18,5768,2886,2389,689,1065,235,636,507,161,395,0,160,0,0,425,0,108,157,231,365,171,0,0,0,0,0
138,08-19,5801,2899,2392,689,1066,235,636,507,163,395,0,163,0,0,425,0,108,157,231,365,171,0,0,0,0,0
139,08-20,5859,2910,2400,697,1067,235,637,507,163,395,0,163,0,0,427,0,108,157,231,365,171,0,0,0,0,0
140,08-21,5891,2915,2405,697,1067,235,638,509,163,395,0,163,0,0,427,0,109,158,231,365,171,0,0,0,0,0
141,08-22,5934,2922,2416,698,1067,235,638,511,163,395,0,163,0,0,430,0,110,158,231,365,171,0,0,0,0,0
142,08-23,5949,2932,2427,699,1067,235,638,512,163,395,0,163,0,0,430,0,111,159,231,365,171,0,0,0,0,0
143,08-24,5973,2936,2432,699,1068,235,638,515,164,395,0,163,0,0,430,0,111,160,231,365,171,0,0,0,0,0
